school_name,school_district,school_level,school_state,school_students
Hillcrest School,Butte Elem,Elementary,MT,500
Burris Elementary School,Mitchell Community Schools,Elementary,IN,241
CALEDONIA MIDDLE,CALEDONIA PUBLIC SCHOOL DISTRICT,Middle,MN,667
HOUSER EL,CONROE ISD,Elementary,TX,344
LAKEVILLE ELEMENTARY,ORANGE,Elementary,FL,596
ERIE ELEMENTARY SCHOOL,St. Vrain Valley School District No. Re1J,Elementary,CO,522
BRONX EARLY COLLEGE ACADEMY FOR TEACHING AND LEARNING,NEW YORK CITY GEOGRAPHIC DISTRICT # 9,High,NY,194
CAREER EDUCATION CENTER,WICHITA FALLS ISD,Not reported,TX,337
Frontier Charter School,Anchorage School District,Other,AK,263
Kegonsa Elementary,Stoughton Area School District,Elementary,WI,703
Elm Creative Arts Elementary,Milwaukee School District,Elementary,WI,783
Jonesville High School,Jonesville Community Schools,High,MI,845
Helen Jydstrup Elementary School,CLARK COUNTY SCHOOL DISTRICT,Elementary,NV,923
Shelby County Area Technology Center,Kentucky Tech System,Ungraded,KY,868
TOOL EL,MALAKOFF ISD,Elementary,TX,949
Carnell Laura H Sch,Philadelphia City SD,Elementary,PA,719
Aviara Oaks Elementary,Carlsbad Unified,Elementary,CA,465
METROPOLITAN EXPEDITIONARY LEARNING SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT #28,High,NY,274
R L BROWN GIFTED AND TALENTED ACADEMY,DUVAL,Elementary,FL,823
Tonasket Middle School,Tonasket School District,Middle,WA,268
Grover C Fields Middle,Craven County Schools,Middle,NC,261
EARLY CHILDHOOD SPECIAL EDUCATION,EASTERN CARVER COUNTY PUBLIC SCHOOL,Elementary,MN,835
SYLVAN HILLS HIGH SCHOOL,PULASKI CO. SPEC. SCHOOL DIST.,High,AR,235
Winthrop L Chenery Middle,Belmont,Middle,MA,835
Florence M. Burd,Andover Regional School District,Elementary,NJ,417
JEFFRIES ELEM.,SPRINGFIELD R-XII,Elementary,MO,415
Fort Bragg High,Fort Bragg Unified,High,CA,474
Valentine Hills Elementary,MOUNDS VIEW PUBLIC SCHOOL DISTRICT,Elementary,MN,971
Parkview Elementary,Parkview School District,Elementary,WI,620
Gabbs High School,NYE COUNTY SCHOOL DISTRICT,High,NV,521
CANNELLA ELEMENTARY SCHOOL,HILLSBOROUGH,Elementary,FL,599
Simon Rodia Continuation,Los Angeles Unified,High,CA,517
MISSION RIDGE,SOCORRO ISD,Elementary,TX,802
FRANK STONE MIDDLE,NORTH LAMAR ISD,Middle,TX,100
Whittier Elementary School,Mesa Unified District (4235),Elementary,AZ,809
Cambridge High School,Fulton County,High,GA,678
Horace Mann Elementary School,Cherry Hill School District,Elementary,NJ,138
Franklin Elementary,Burlingame Elementary,Elementary,CA,855
NORTHWEST ELEMENTARY SCHOOL,HILLSBOROUGH,Elementary,FL,834
Spring Creek School,Spring Creek Elem,Elementary,MT,976
TOM HICKS EL,LEWISVILLE ISD,Elementary,TX,303
PS 17,NYC SPECIAL SCHOOLS - DISTRICT 75,Other,NY,326
Longfellow Middle,Wauwatosa School District,Middle,WI,562
Lindsay Senior High,Lindsay Unified,High,CA,657
VALLEY VIEW SOUTH EL,VALLEY VIEW ISD,Elementary,TX,461
Life Skills Center,Traverse Bay Area ISD,High,MI,589
Northampton Area MS,Northampton Area SD,Middle,PA,341
Stevenson,Fairfield Public Schools School District,Elementary,NJ,898
ROCKY MOUNTAIN PREP: CREEKSIDE,School District No. 1 in the county of Denver and State of C,Elementary,CO,276
Jettie S. Tisdale School,BRIDGEPORT SCHOOL DISTRICT,Elementary,CT,615
Otis-Bison Elementary,Otis-Bison,Elementary,KS,240
Temple Hill Elementary,Unicoi County,Elementary,TN,824
Plank Junior High,CUSD 308,Middle,IL,820
FALKNER ELEMENTARY SCHOOL,NORTH TIPPAH SCHOOL DIST,Elementary,MS,460
The Odyssey Preparatory Academy Goodyear,The Odyssey Preparatory Academy Inc. (90287),Elementary,AZ,648
Roadrunner School,Paradise Valley Unified District (4241),Other,AZ,732
STAR Academic High School,Sunnyside Unified District (4407),High,AZ,957
OAK HILL EL,AUSTIN ISD,Elementary,TX,105
Futurus High School,Centralia School District,High,WA,830
SUGAR GROVE ELEM,SMYTH CO PBLC SCHS,Elementary,VA,173
MURCHISON MIDDLE,AUSTIN ISD,Middle,TX,922
Sumner Elem Math & Sci Comm Acad,City of Chicago SD 299,Elementary,IL,588
Tohickon MS,Central Bucks SD,Middle,PA,847
THOMAS J RUSK MIDDLE,DALLAS ISD,Middle,TX,190
Kent Lake Elementary School,South Lyon Community Schools,Elementary,MI,451
Jackson Grammar School,Jackson School District,Elementary,NH,303
Bolton High School,Rapides Parish,High,LA,446
Hillview School,Pequannock Township School District,Elementary,NJ,487
HARRIS CO J J A E P,SPRING BRANCH ISD,Not reported,TX,424
MEADOWS EL,PLANO ISD,Elementary,TX,643
Jefferson Elementary,Stevens Point Area Public School District,Elementary,WI,708
Del Mar High,San Gabriel Unified,High,CA,189
Phillips Middle,Phillips School District,Middle,WI,741
Edison Middle School - 06,Sioux Falls School District 49-5,Middle,SD,590
SALMON JR/SR HIGH SCHOOL,SALMON DISTRICT,High,ID,387
KING GEORGE MIDDLE,KING GEO CO PBLC SCHS,Middle,VA,788
HICKORY CREEK ELEMENTARY SCHOOL,ST. JOHNS,Elementary,FL,764
Southwest Middle,Sweetwater Union High,Middle,CA,177
Eugene Field Elem School,Park Ridge CCSD 64,Elementary,IL,992
Godfrey Elementary School,Godfrey-Lee Public Schools,Elementary,MI,277
UPLIFT LUNA PREPARATORY PRI,UPLIFT EDUCATION,Elementary,TX,247
Silver Creek Elementary School,Silver Creek School Corporation,Elementary,IN,781
Vista del Lago High,Folsom-Cordova Unified,High,CA,843
Unionville HS,Unionville-Chadds Ford SD,High,PA,148
NUEVA ELEMENTAL URBANA DE GUAYNABO,PUERTO RICO DEPARTMENT OF EDUCATION,Elementary,PR,131
Orchard Knob Elementary,Hamilton County,Elementary,TN,404
Russell County High School,Russell County,High,KY,298
Lansing Charter Academy,Lansing Charter Academy,Elementary,MI,203
Paulo Freire Freedom School - Downtown,CITY Center for Collaborative Learning (85448),Middle,AZ,782
Woodmere,Eatontown Public School District,Elementary,NJ,429
Manchester Elementary School,South Kitsap School District,Elementary,WA,967
MULLIN OAKS,MULLIN ISD,High,TX,390
Darbydale Elementary School,South-Western City,Elementary,OH,338
Iowa High School,Calcasieu Parish,High,LA,512
PARRY MCCLUER MIDDLE,BUENA VISTA CITY PBLC SCHS,Middle,VA,334
Wynford Junior High,Wynford Local,Middle,OH,421
FANNIN EL,EL PASO ISD,Elementary,TX,652
Victoria Fertitta Middle School,CLARK COUNTY SCHOOL DISTRICT,Middle,NV,638
Flora Arca Mata,Stockton Unified,Not reported,CA,861
Fremont Middle School,Fremont Public School District,Middle,MI,838
TECUMSEH HS,TECUMSEH,High,OK,478
PARK RIDGE ELEM,STAFFORD CO PBLC SCHS,Elementary,VA,759
LAFAYETTE UPPER ELEM,FREDERICKSBURG CITY PBLC SCHS,Elementary,VA,951
JEFFERSON ES,PRYOR,Elementary,OK,285
Indian Paintbrush  Elementary,Albany County School District #1,Elementary,WY,703
Bridge Academy West,Bridge Academy,Middle,MI,498
West Madison Elementary School,Madison City,Elementary,AL,942
Neithercut Elementary School,Flint School District of the City of,Elementary,MI,615
SHADOW RIDGE MIDDLE SCHOOL,Adams 12 Five Star Schools,Middle,CO,351
Kyrene del Cielo School,Kyrene Elementary District (4267),Elementary,AZ,930
Curie Elementary,San Diego Unified,Elementary,CA,975
NORTH PARK ELEMENTARY,COLUMBIA HEIGHTS PUBLIC SCHOOL DIST,Elementary,MN,224
Sarah W Starkweather El Sch,West Chester Area SD,Elementary,PA,317
Liberty Creek Elementary School,Central Valley School District,Elementary,WA,991
Harlan (David W. ) Elementary School,Brandywine School District,Elementary,DE,919
PILOT POINT SELZ MIDDLE,PILOT POINT ISD,Middle,TX,180
Arundel Middle,Anne Arundel County Public Schools,Middle,MD,968
Ephrata Middle School,Ephrata School District,Middle,WA,825
WEST VIRGINIA SCHOOL FOR THE BLIND,WV SCHOOLS FOR THE DEAF AND THE BLIND,Other,WV,423
SAN ISIDRO EL,SAN ISIDRO ISD,Elementary,TX,804
Havens Elementary,Piedmont City Unified,Elementary,CA,579
Saginaw ISD Transitions Center,Saginaw ISD,Other,MI,472
Bristol County Agricultural High,Bristol County Agricultural,High,MA,768
MOUNT VERNON STEAM ACADEMY,MOUNT VERNON SCHOOL DISTRICT,High,NY,515
PS 236 LANGSTON HUGHES,NEW YORK CITY GEOGRAPHIC DISTRICT # 9,Elementary,NY,178
Hookele Elementary School,Hawaii Department of Education,Elementary,HI,398
HOOKS J H,HOOKS ISD,Middle,TX,958
STEDY- Antelope HS Satellite,Southwest Technical Education District of Yuma (ST (92705),High,AZ,552
Regional Programs School,Dayton Independent,Other,KY,627
BRONX DESIGN AND CONSTRUCTION ACADEMY,NEW YORK CITY GEOGRAPHIC DISTRICT # 7,High,NY,934
SHADY OAKS EL,HURST-EULESS-BEDFORD ISD,Elementary,TX,874
Juvenile Justice Center,South Bend Community School Corp,Secondary,IN,953
Liberty Elementary,Bedford County,Elementary,TN,123
Rogers International School,STAMFORD SCHOOL DISTRICT,Elementary,CT,144
Earle Elem School,City of Chicago SD 299,Elementary,IL,883
Patrick Henry School,Cleveland Municipal,Elementary,OH,421
K-12 Ellensburg Learning Center,Ellensburg School District,Other,WA,701
BRILLA COLLEGE PREPARATORY CHARTER SCHOOL,BRILLA COLLEGE PREPARATORY CHARTER SCHOOL,Elementary,NY,727
JULIAN T SALDIVAR EL,DALLAS ISD,Elementary,TX,848
Sullivan Co El Sch,Sullivan County SD,Elementary,PA,240
New Market High School,Tumwater School District,High,WA,713
Myersville Elementary,Frederick County Public Schools,Elementary,MD,729
Forest Glen Elementary School,M S D Lawrence Township,Elementary,IN,293
LOS LUNAS FAMILY SCHOOL,LOS LUNAS PUBLIC SCHOOLS,Elementary,NM,344
Akron Westfield Senior High School,Akron Westfield Comm School District,High,IA,678
Redbird Elementary School,Mesa Unified District (4235),Elementary,AZ,865
LEEP DUAL LANGUAGE ACADEMY CHARTER SCHOOL,LEEP DUAL LANGUAGE ACADEMY CHARTER SCHOOL,Elementary,NY,401
Metter Middle School,Candler County,Middle,GA,182
BENJAMIN N CARDOZO HIGH SCHOOL,NEW YORK CITY GEOGRAPHIC DISTRICT #26,High,NY,504
Lincoln Elementary,Madera Unified,Elementary,CA,468
Apollo-Ridge Elem Sch,Apollo-Ridge SD,Elementary,PA,335
Silver Oak Elementary,Evergreen Elementary,Elementary,CA,481
ACADEMY FOR LANGUAGE AND TECHNOLOGY,NEW YORK CITY GEOGRAPHIC DISTRICT # 9,High,NY,130
Coquille Junior Senior High,Coquille SD 8,High,OR,489
Georgian Forest Elementary,Montgomery County Public Schools,Elementary,MD,261
PIONEER CAREER ACADEMY,HARDEE,High,FL,498
DUDLEY PRIMARY,TAZEWELL CO PBLC SCHS,Elementary,VA,942
Los Angeles Academy of Arts and Enterprise,Los Angeles Academy of Arts and Enterprise District,High,CA,420
West Lincoln Middle,Lincoln County Schools,Middle,NC,970
RUTLEDGE EL,LEANDER ISD,Elementary,TX,866
GOTHENBURG SECONDARY SCHOOL,GOTHENBURG PUBLIC SCHOOLS,High,NE,714
Peter W Reilly,Lowell,Elementary,MA,630
Meadowlake Elementary,Mobile County,Elementary,AL,237
Golden Eagle Charter,Golden Eagle Charter District,Other,CA,671
BOEVERS ES,UNION,Elementary,OK,940
Eastside Elementary School,Coffee County,Elementary,GA,415
Hometown Elem School,Oak Lawn-Hometown SD 123,Elementary,IL,863
ACADEMY OF THE CITY CHARTER SCHOOL,ACADEMY OF THE CITY CHARTER SCHOOL,Elementary,NY,745
General John Stricker Middle,Baltimore County Public Schools,Middle,MD,683
BRIDLE RIDGE ELEMENTARY,RAYMORE-PECULIAR R-II,Elementary,MO,407
Fort Middle School,Muscogee County,Middle,GA,351
BROCK J H,BROCK ISD,Middle,TX,202
Belmont Street Community,Worcester,Elementary,MA,561
Summit Academy High School,Summit Academy High School,High,UT,792
Arctic Light Elementary,Fairbanks North Star Borough School District,Elementary,AK,836
Mt. Diablo Elementary,Mt. Diablo Unified,Elementary,CA,496
Grove Avenue Elem School,Barrington CUSD 220,Elementary,IL,517
Glennallen Elementary,Copper River School District,Elementary,AK,706
South Point Middle School,South Point Local,Middle,OH,628
Calamus-Wheatland Sec Attendance Center,Calamus-Wheatland Comm School District,High,IA,656
Orchard Lake Middle School,West Bloomfield School District,Middle,MI,711
CARLOS ORAMA PADILLA,PUERTO RICO DEPARTMENT OF EDUCATION,Elementary,PR,585
Whittier Elem School,Harvey SD 152,Elementary,IL,317
Lakes Elementary School,Rockford Public Schools,Elementary,MI,309
Mahantongo El Sch,Tri-Valley SD,Elementary,PA,860
GALLUP MIDDLE,GALLUP-MCKINLEY CTY SCHOOLS,Middle,NM,394
SUTTON EL,HOUSTON ISD,Elementary,TX,307
Pahranagat Valley Middle School,LINCOLN COUNTY SCHOOL DISTRICT,Middle,NV,331
Weskan High,Weskan,High,KS,325
Pemetic Elementary School,Southwest Harbor Public Schools,Elementary,ME,965
WhittemorePrescott Area Elementary,Whittemore-Prescott Area Schools,Elementary,MI,695
MENDENHALL HIGH SCHOOL,SIMPSON CO SCHOOL DIST,High,MS,415
North Clarion Co JSHS,North Clarion County SD,High,PA,969
Plymouth South Middle,Plymouth,Middle,MA,934
Tuolumne County Special Education,Tuolumne County Superintendent of Schools,Other,CA,497
Southeast Whitfield County High School,Whitfield County,High,GA,423
PS 282 PARK SLOPE,NEW YORK CITY GEOGRAPHIC DISTRICT #13,Elementary,NY,644
